Type,Target,Repository,Result,Ground Truth
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,0,FALSE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,FALSE
o,O0,O2,1,TRUE
o,O0,O2,0,TRUE
o,O0,O2,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O0,O3,0,FALSE
o,O0,O3,0,FALSE
o,O0,O3,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,0,FALSE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O2,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O1,O3,0,FALSE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,1,TRUE
o,O1,O3,0,FALSE
o,O2,O3,0,FALSE
o,O2,O3,0,FALSE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,0,FALSE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,0,FALSE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,0,FALSE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,0,FALSE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,0,FALSE
o,O2,O3,1,TRUE
o,O2,O3,0,FALSE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
o,O2,O3,1,TRUE
